Feature,Category
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (V Token),Lexical
Morphological Complexity Inflection Feature: Past Participle Verb Density,Morphological
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD V Type),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (AW Token),Lexical
Lexical Sophistication Feature: Portuguese Vocabulary Profile B1,Lexical
Percentage of Tokens with More Than 2 Syllables,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (LW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Band 2,Lexical
Number of POS Feature: Adjective Lemma Types,Count
Lexical Variation Feature: Squared Verb Variation 1,Lexical
Mean Sentence Length in Tokens,Count
POS Density Feature: Functional Words,Lexical
Mean Clause Length in Tokens,Count
Lexical Richness: Type Token Ratio (STTR Verbs),Lexical
Lexical Sophistication Feature: Familiarity (LW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD V Token),Lexical
Referential Cohesion: Mean Global Lexical Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD V Token),Lexical
Lexical Variation Feature: Modifier,Lexical
Lexical Richness: Type Token Ratio (Corrected TTR Adverbs),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (SD AW Token),Lexical
Lexical Richness: Type Token Ratio (Log TTR),Lexical
Mean Global Edit Distance for tokens,Lexical
Syntactic Complexity Feature: Coordinate Phrases per Clause,Syntactic
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (Adv Type),Lexical
Mean Global Edit Distance for POS,Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD Adv Type),Lexical
Lexical Richness: Type Token Ratio (TTR Adjectives per Lexical Types),Lexical
Lexical Richness: Type Token Ratio (Log10 TTR Lexical Words),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD LW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (AW Token),Lexical
Lexical Richness: Type Token Ratio (TTR Adjectives and Adverbs per Lexical Types),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD Adv Token),Lexical
Lexical Sophistication Feature: Portuguese Vocabulary Profile A2,Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD Adv Type),Lexical
Lexical Richness: Type Token Ratio (TTR Nouns),Lexical
Referential Cohesion: SD of Global Lexical Overlap (lemma-based),Discourse
Lexical Sophistication Feature: SUBTLEX Logarithmic Word Frequency (Adj Type),Lexical
Lexical Richness: Type Token Ratio (TTR Adverbs per Lexical Types),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD LW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (SD AW Token),Lexical
Morphological Complexity Inflection Feature: Third Person per word token,Morphological
Lexical Sophistication Feature: SUBTLEX Contextual Diversity (LW Token),Lexical
POS Density Feature: Cardinal Number,Lexical
Mean Token Length in Letters,Lexical
POS Density Feature: Preposition,Lexical
Number of POS Feature: Verb Tokens (including Modals),Count
Lexical Sophistication Feature: SUBTLEX Frequency Top 1000,Lexical
Mean Global Edit Distance for Lemmas,Lexical
POS Density Feature: Conjunction,Lexical
Lexical Richness: Type Token Ratio (TTR Verbs incl. modals),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD FW Type),Lexical
Lexical Sophistication Feature: Imageability (LW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD Adv Type),Lexical
