Feature,Category
Referential Cohesion: Mean Local Noun Overlap (lemma-based),Discourse
Referential Cohesion: SD of Local Argument Overlap (lemma-based),Discourse
Referential Cohesion: Mean Local Noun Overlap (word form-based),Discourse
Morphological Complexity Inflection Feature: Gender inflection per word token,Morphological
Dependency Locality Theory: Total IC at Finite Verb (no modifier weight + less coordination weight),Syntactic
Dependency Locality Theory: Maximal IC at Finite Verb (less coordination weight),Syntactic
Dependency Locality Theory: Total IC at Finite Verb (original cost configuration),Syntactic
Number of Syntactic Function: Clausal Complement,Count
Referential Cohesion: Mean Local Argument Overlap (lemma-based),Discourse
POS Density Feature: Particle,Lexical
Dependency Locality Theory: Maximal IC at Finite Verb (higher verb weight),Syntactic
mesoclitics,Count
Syntactic Complexity: Mesoclitics per VP,Syntactic
Referential Cohesion: Local Noun Overlap (word form-based),Discourse
Number of Syntactic Constituents: WH-Clefts,Count
Referential Cohesion: SD of Local Noun Overlap (word form-based),Discourse
Referential Cohesion: Local Noun Overlap (lemma-based),Discourse
Syntactic Complexity Feature: WH-Clefts per VP,Syntactic
Syntactic Complexity Feature: Inverted Pseudoclefts per VP,Syntactic
Dependency Locality Theory: Maximal IC at Finite Verb (original cost configuration),Syntactic
Dependency Locality Theory: Total IC at Finite Verb (less coordination weight + higher verb weight),Syntactic
Dependency Locality Theory: Total IC at Finite Verb (less coordination weight),Syntactic
Dependency Locality Theory: Total IC at Finite Verb (no modifier weight),Syntactic
Number of Syntactic Constituents: Postnominal Noun Modifier,Count
Number of Syntactic Constituents: Inverted Pseudoclefts,Count
Syntactic Complexity Feature: Postnominal Modifier per Complex Noun Phrase,Syntactic
Number of Syntactic Constituents: Copulative Coordinate Phrases,Count
Morphological Complexity Inflection Feature: Imperatives per Verb,Morphological
Morphological Complexity Inflection Feature: Imperatives per word token,Morphological
Morphological Complexity Inflection Feature: Pluperfect Verb per Verb Token,Morphological
Morphological Complexity Inflection Feature: Simple Future Verb per Verb Token,Morphological
Number of Morphological Features: Inflected Infinitive Verbs,Count
Syntactic Complexity Feature: Copulative Coordinate Phrases per Sentence,Syntactic
Dependency Locality Theory: Total IC at Finite Verb (no modifier weight + less coordination weight + added verb weight),Syntactic
Cohesive Complexity Feature: Mendes Multi-Word Connectives per Connective,Discourse
Lexical Sophistication Feature: Age of Acquisition (AW Type),Lexical
Lexical Sophistication Feature: Familiarity (AW Type),Lexical
Lexical Sophistication Feature: SUBTLEX Frequency Band 5,Lexical
Lexical Sophistication Feature: SUBTLEX Logarithmic Contextual Diversity (SD FW Token),Lexical
Lexical Sophistication Feature: SUBTLEX Word Frequency per Million (SD AW Token),Lexical
Number of POS Feature: Adverb Types,Count
Number of Word Types (excluding Punctuation and numbers),Count
Syntactic Complexity Feature: Noun Phrases per Sentence,Syntactic
Number of Nomes masculinos terminados em -ão,Count
Number of Nomes masculinos terminados em -a,Count
Number of Nomes invariáveis quanto ao género,Count
Number of Forma plural de nomes masculinos terminados em -ão,Count
Number of Nomes invariáveis quanto ao número,Count
Number of Género - Outros casos de flexão,Count
Number of Plural de nomes compostos,Count
"Number of Diminutivos e aumentaivos frequentes (-inho, -ito, -zinho, -zito)",Count
Number of Adjetivos invariáveis quanto ao género,Count
Number of Adjetivos invariáveis quanto ao número,Count
Number of Comparativo,Count
Number of Superlativo relativo,Count
Number of Comparativos e superlativos irregulares frequentes,Count
Number of Feminino de adjetivos compostos,Count
Number of Plural de adjetivos compostos,Count
Number of Superlativo (-íssimo),Count
Number of Grau - Outros processos,Count
Number of Pretérito perfeito simples do indicativo - verbos regulares,Count
Number of Pretérito perfeito simples do indicativo - verbos irregulares,Count
Number of Pretérito imperfeito do indicativo - verbos regulares,Count
Number of Pretérito imperfeito do indicativo - verbos irregulares,Count
Number of Particípio passado - particípios regulares,Count
Number of Particípio passado - particípios irregulares (frequentes),Count
Number of Auxiliar ter no imperfeito do indicativo + particípio passado do verbo principal,Count
Number of Pretérito perfeito composto do indicativo,Count
Number of Infinitivo pessoal simples,Count
Number of Futuro simples do indicativo - verbos regulares,Count
Number of Futuro simples do indicativo - verbos irregulares,Count
Number of Condicional simples - verbos regulares,Count
Number of Condicional simples - verbos irregulares,Count
Number of Presente do conjuntivo - verbos regulares,Count
Number of Presente do conjuntivo - alternância vocálica na 1.ª pessoa de alguns verbos,Count
Number of Presente do conjuntivo - verbos irregulares,Count
Number of Particípio passado - forma irregular de particípio (particípios duplos),Count
Number of Futuro simples do indicativo - uso - possibilidade (construção condicional),Count
Number of Pretérito imperfeito do conjuntivo - verbos regulares,Count
Number of Pretérito imperfeito do conjuntivo - verbos irregulares,Count
Number of Futuro simples do conjuntivo - verbos regulares,Count
Number of Futuro simples do conjuntivo - verbos irregulares,Count
Number of Mais-que-perfeito composto do conjuntivo,Count
Number of Condicional composto,Count
Number of Infinitivo impessoal composto,Count
Number of Gerúndio simples,Count
Number of Futuro composto do indicativo,Count
Number of Pretérito perfeito composto do conjuntivo,Count
Number of Futuro composto do conjuntivo,Count
Number of Infinitivo pessoal composto,Count
Number of Gerúndio composto,Count
Number of Pretérito mais-que-perfeito simples do indicativo,Count
Number of Frase passiva adjetival com auxiliar estar + pp,Count
Number of Frase passiva periferástica (ser + pp) com complemento agente,Count
Number of Frase passiva periferástica (ser + pp) sem complemento agente,Count
Number of Frase passiva reflexa no singular,Count
Number of Frase passiva reflexa no plural,Count
Number of Frase negativa marcada por outras palavras de valor negativo,Count
Number of Coordenada copulativa - e,Count
Number of Coordenada disjuntiva - ou,Count
Number of Coordenada adversativa - mas,Count
Number of Coordenada conclusiva - então,Count
Number of Coordenada copulativa - nem,Count
"Number of Coordenada conclusiva - logo, por isso",Count
Number of Coordenada conclusiva - pois,Count
"Number of Coordenada copulativa - não só ... mas também, não só ... como, tanto ... como, nem ... nem",Count
"Number of Coordenada disjuntiva - ou ... ou, quer ... quer, ora ... ora, seja ... seja",Count
"Number of Coordenada adversativa - porém, contudo, no entanto, ainda assim",Count
"Number of Coordenada conclusiva - portanto, assim",Count
"Number of Coordenada adversativa - todavia, não obstante",Count
"Number of Coordenada conclusiva - por conseguinte, por consequência",Count
Number of Coordenada explicativa - que,Count
Number of Coordenada assindética,Count
Number of Subordinada substantiva completiva iniciada por que com função de complemento com verbos epistémicos (achar),Count
Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de sujeito ser,Count
Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com verbos optativos e volitivos (querer),Count
Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com verbos epistémicos (saber),Count
"Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com verbos modais (pode, dever)",Count
"Number of Subordinada substantiva completiva iniciada por que com função de complemento com verbos epistémicos (pensar, saber)",Count
Number of Subordinada substantiva completiva iniciada por que com função de complemento com verbos epistémicos (dizer),Count
"Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com verbos optativos e volitivos (esperar, desejar, ...)",Count
"Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com verbos epistémicos (pensar, ...)",Count
"Number of Subordinada substantiva completiva de infinitivo (impessoal) com função de complemento com precisar, necessitar + de",Count
"Number of Subordinada substantiva completiva iniciada por que com função de complemento com verbos que ocorrem em colocação com nomes (dar/fazer pena, fazer falta, ...)",Count
"Number of Subordinada substantiva completiva iniciada por que com função de complemento com verbos introduzidos por que ou se, com alterações de significado",Count
"Number of Subordinada substantiva completiva de infinitivo (pessoal) com diferentes verbos, com infinitivo pessoal composto",Count
Grammatical Complexity: Nomes masculinos terminados em -ão per noun tokens,Grammatical
Grammatical Complexity: Nomes masculinos terminados em -a per noun tokens,Grammatical
Grammatical Complexity: Nomes invariáveis quanto ao género per noun tokens,Grammatical
Grammatical Complexity: Forma plural de nomes masculinos terminados em -ão per noun tokens,Grammatical
Grammatical Complexity: Nomes invariáveis quanto ao número per noun tokens,Grammatical
Grammatical Complexity: Género - Outros casos de flexão per noun tokens,Grammatical
Grammatical Complexity: Plural de nomes compostos per noun tokens,Grammatical
Grammatical Complexity: Diminutivos e aumentativos frequentes per noun tokens,Grammatical
Grammatical Complexity: Adjetivos invariáveis quanto ao género per adjective tokens,Grammatical
Grammatical Complexity: Adjetivos invariáveis quanto ao número per adjective tokens,Grammatical
Grammatical Complexity: Comparativo per adjective tokens,Grammatical
Grammatical Complexity: Superlativo relativo per adjective tokens,Grammatical
Grammatical Complexity: Comparativos e superlativos irregulares frequentes per adjective tokens,Grammatical
Grammatical Complexity: Feminino de adjetivos compostos per adjective tokens,Grammatical
Grammatical Complexity: Plural de adjetivos compostos per adjective tokens,Grammatical
Grammatical Complexity: Superlativo (-íssimo) per adjective tokens,Grammatical
Grammatical Complexity: Grau - Outros processos per adjective tokens,Grammatical
Grammatical Complexity: Pretérito perfeito simples do indicativo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito perfeito composto do indicativo per verb tokens,Grammatical
Grammatical Complexity: Infinitivo pessoal simples per verb tokens,Grammatical
Grammatical Complexity: Futuro simples do indicativo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Futuro simples do indicativo - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Condicional simples - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Condicional simples - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Presente do conjuntivo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Presente do conjuntivo - alternância vocálica na 1.ª pessoa de alguns verbos per verb tokens,Grammatical
Grammatical Complexity: Presente do conjuntivo - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Futuro simples do indicativo - uso - possibilidade per verb tokens,Grammatical
Grammatical Complexity: Frase passiva adjetival com auxiliar estar + pp per sentence,Grammatical
Grammatical Complexity: Frase passiva perifrástica (ser + pp) com complemento agente per sentence,Grammatical
Grammatical Complexity: Frase passiva perifrástica (ser + pp) sem complemento agente per sentence,Grammatical
Grammatical Complexity: Frase passiva reflexa no singular per sentence,Grammatical
Grammatical Complexity: Frase passiva reflexa no plural per sentence,Grammatical
Grammatical Complexity: Frase negativa marcada por outras palavras de valor negativo per sentence,Grammatical
Grammatical Complexity: Coordenada copulativa - e per clause,Grammatical
Grammatical Complexity: Coordenada disjuntiva - ou per clause,Grammatical
Grammatical Complexity: Coordenada adversativa - mas per clause,Grammatical
Grammatical Complexity: Coordenada conclusiva - então per clause,Grammatical
Grammatical Complexity: Coordenada copulativa - nem per clause,Grammatical
"Grammatical Complexity: Coordenada conclusiva - logo, por isso per clause",Grammatical
Grammatical Complexity: Coordenada conclusiva - pois per clause,Grammatical
Grammatical Complexity: Coordenada copulativa - correlatives per clause,Grammatical
Grammatical Complexity: Coordenada disjuntiva - correlatives per clause,Grammatical
"Grammatical Complexity: Coordenada adversativa - porém, contudo, no entanto, ainda assim per clause",Grammatical
"Grammatical Complexity: Coordenada conclusiva - portanto, assim per clause",Grammatical
"Grammatical Complexity: Coordenada adversativa - todavia, não obstante per clause",Grammatical
"Grammatical Complexity: Coordenada conclusiva - por conseguinte, por consequência per clause",Grammatical
Grammatical Complexity: Coordenada explicativa - que per clause,Grammatical
Grammatical Complexity: Coordenada assindética per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva iniciada por que (achar) per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva de infinitivo (impessoal) com função de sujeito ser per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva de infinitivo (querer) per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva de infinitivo (saber) per clause,Grammatical
"Grammatical Complexity: Subordinada substantiva completiva de infinitivo (pode, dever) per clause",Grammatical
"Grammatical Complexity: Subordinada substantiva completiva iniciada por que (pensar, saber) per clause",Grammatical
Grammatical Complexity: Subordinada substantiva completiva iniciada por que (dizer) per clause,Grammatical
"Grammatical Complexity: Subordinada substantiva completiva de infinitivo (esperar, desejar) per clause",Grammatical
"Grammatical Complexity: Subordinada substantiva completiva de infinitivo (pensar, ...) per clause",Grammatical
"Grammatical Complexity: Subordinada substantiva completiva de infinitivo (precisar, necessitar + de) per clause",Grammatical
Grammatical Complexity: Subordinada substantiva completiva iniciada por que com verbos em colocação com nomes per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva iniciada por que com verbos introduzidos por que ou se per clause,Grammatical
Grammatical Complexity: Subordinada substantiva completiva de infinitivo (pessoal) com diferentes verbos per clause,Grammatical
Grammatical Complexity: Auxiliar ter no imperfeito do indicativo + particípio passado per verb tokens,Grammatical
Grammatical Complexity: Condicional composto per verb tokens,Grammatical
Grammatical Complexity: Futuro composto do conjuntivo per verb tokens,Grammatical
Grammatical Complexity: Futuro composto do indicativo per verb tokens,Grammatical
Grammatical Complexity: Futuro simples do conjuntivo - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Futuro simples do conjuntivo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Gerúndio composto per verb tokens,Grammatical
Grammatical Complexity: Gerúndio simples per verb tokens,Grammatical
Grammatical Complexity: Infinitivo impessoal composto per verb tokens,Grammatical
Grammatical Complexity: Infinitivo pessoal composto per verb tokens,Grammatical
Grammatical Complexity: Mais-que-perfeito composto do conjuntivo per verb tokens,Grammatical
Grammatical Complexity: Particípio passado - forma irregular de particípio per verb tokens,Grammatical
Grammatical Complexity: Particípio passado - particípios irregulares per verb tokens,Grammatical
Grammatical Complexity: Particípio passado - particípios regulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito imperfeito do conjuntivo - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito imperfeito do conjuntivo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito imperfeito do indicativo - verbos irregulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito imperfeito do indicativo - verbos regulares per verb tokens,Grammatical
Grammatical Complexity: Pretérito mais-que-perfeito simples do indicativo per verb tokens,Grammatical
Grammatical Complexity: Pretérito perfeito composto do conjuntivo per verb tokens,Grammatical
Grammatical Complexity: Pretérito perfeito simples do indicativo - verbos irregulares per verb tokens,Grammatical
